"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"261" 24 "aI" "M" 70 577.372881355932 1535.08474576271 2392.03389830508 3408.27118644068
"262" 24 "aI" "M" 80 533.474576271186 1552.57627118644 2341.1186440678 3113.16949152542
"263" 24 "aI" "M" 90 496.271186440678 1487.83050847458 2275.10169491525 3090.74576271186
"264" 24 "aI" "M" 100 246 1451 2342 3187
"265" 25 "aI" "M" 0 474 1229 2529 3237
"266" 25 "aI" "M" 10 499.220338983051 1315.66101694915 2539.69491525424 3332
"267" 25 "aI" "M" 20 500 1380.74576271186 2512.57627118644 3396.06779661017
"268" 25 "aI" "M" 30 498.677966101695 1408.61016949153 2494.32203389831 3436.84745762712
"269" 25 "aI" "M" 40 499.762711864407 1430.50847457627 2495.8813559322 3455.69491525424
"270" 25 "aI" "M" 50 505.389830508475 1479.16949152542 2472.81355932203 3447.4406779661
"271" 25 "aI" "M" 60 496.457627118644 1516.96610169492 2482.57627118644 3399.25423728814
"272" 25 "aI" "M" 70 485.203389830508 1516.28813559322 2483.1186440678 3339.59322033898
"273" 25 "aI" "M" 80 472.084745762712 1503.32203389831 2469.84745762712 3305.27118644068
"274" 25 "aI" "M" 90 443.440677966102 1465.59322033898 2455.20338983051 3359.98305084746
"275" 25 "aI" "M" 100 385 1378 2409 3429
"276" 26 "aI" "M" 0 440 1620 2098 3024
"277" 26 "aI" "M" 10 460.338983050847 1619.66101694915 2194.94915254237 3332.98305084746
"278" 26 "aI" "M" 20 480 1599.32203389831 2193.76271186441 3388.81355932203
"279" 26 "aI" "M" 30 481.016949152542 1581.16949152542 2246.49152542373 3354.69491525424
"280" 26 "aI" "M" 40 500 1600.08474576271 2294.83050847458 3344.93220338983
"281" 26 "aI" "M" 50 507.033898305085 1560 2320.67796610169 3279.59322033898
"282" 26 "aI" "M" 60 583 1557.96610169492 2326.77966101695 3168.54237288136
"283" 26 "aI" "M" 70 579.559322033898 1537.62711864407 2308.16949152542 3096.74576271186
"284" 26 "aI" "M" 80 548.033898305085 1520 2244.16949152542 3196.33898305085
"285" 26 "aI" "M" 90 496.271186440678 1520 2201.35593220339 3289.49152542373
"286" 26 "aI" "M" 100 420 1520 2170 3370
"287" 27 "aI" "M" 0 534 1232 2236 3314
"288" 27 "aI" "M" 10 582.966101694915 1202.40677966102 2275.37288135593 3241.94915254237
"289" 27 "aI" "M" 20 607.864406779661 1202.13559322034 2305.20338983051 3247.86440677966
"290" 27 "aI" "M" 30 623.101694915254 1213.38983050847 2331.38983050847 3344.06779661017
"291" 27 "aI" "M" 40 606.322033898305 1233.18644067797 2343.94915254237 3385.40677966102
"292" 27 "aI" "M" 50 580.898305084746 1296.25423728814 2320 3445.54237288136
"293" 27 "aI" "M" 60 543.627118644068 1379.15254237288 2293.20338983051 3457.45762711864
"294" 27 "aI" "M" 70 479.610169491525 1525.64406779661 2384.23728813559 3360.32203389831
"295" 27 "aI" "M" 80 436.71186440678 1632.37288135593 2329.86440677966 3341.40677966102
"296" 27 "aI" "M" 90 437.864406779661 1732.28813559322 2337.52542372881 3373.67796610169
"297" 27 "aI" "M" 100 384 1740 2366 3436
"298" 28 "aU" "M" 0 468 976 2529 3285
"299" 28 "aU" "M" 10 499.983050847458 993.050847457627 2495.93220338983 3243.30508474576
"300" 28 "aU" "M" 20 520.762711864407 984.542372881356 2554.91525423729 3306.74576271186
"301" 28 "aU" "M" 30 539.610169491525 968.508474576271 2564.50847457627 3061.1186440678
"302" 28 "aU" "M" 40 544.796610169491 948.576271186441 2564.22033898305 2932.67796610169
"303" 28 "aU" "M" 50 544.254237288136 924.71186440678 2601.96610169492 3281.96610169492
"304" 28 "aU" "M" 60 539.169491525424 904.694915254237 2593.71186440678 3261.84745762712
"305" 28 "aU" "M" 70 515.440677966102 903.677966101695 2576.93220338983 3254.89830508475
"306" 28 "aU" "M" 80 505.423728813559 894.135593220339 2557.38983050847 3232.57627118644
"307" 28 "aU" "M" 90 502.254237288136 856.406779661017 2548.4406779661 3223.35593220339
"308" 28 "aU" "M" 100 800 1002.33394495413 2532 3231
"309" 29 "OY" "M" 0 641 1020 2445 3098
"310" 29 "OY" "M" 10 596.203389830509 1031.54237288136 2428.28813559322 3077.13559322034
"311" 29 "OY" "M" 20 601.457627118644 1070.76271186441 2380.71186440678 3078.76271186441
"312" 29 "OY" "M" 30 588.305084745763 1125.66101694915 2351.15254237288 3136.62711864407
"313" 29 "OY" "M" 40 586.864406779661 1199.28813559322 2307.71186440678 3172.98305084746
"314" 29 "OY" "M" 50 583.796610169491 1275.06779661017 2263.79661016949 3194.16949152542
"315" 29 "OY" "M" 60 552.322033898305 1335.69491525424 2219.33898305085 3206.81355932203
"316" 29 "OY" "M" 70 498.254237288136 1546.84745762712 2238.94915254237 3175.81355932203
"317" 29 "OY" "M" 80 462.203389830509 1636.22033898305 2334.61016949153 3234.05084745763
"318" 29 "OY" "M" 90 429.813559322034 1709.84745762712 2378.15254237288 3266.13559322034
